,domainList,domAffils
1,1389blog.com,conservative
2,2012.talkingpointsmemo.com,NA
3,aaa-fund.com,NA
4,aboveavgjane.blogspot.com,NA
5,aconservativeteacher.blogspot.com,NA
6,activistpost.com,NA
7,adamsweb.us,NA
8,afeatheradrift.wordpress.com,liberal
9,afjjusticewatch.blogspot.com,NA
10,afpak.foreignpolicy.com,NA
11,aftermathnews.wordpress.com,liberal
12,ajacksonian.blogspot.com,NA
13,alarmingnews.com,NA
14,albertmohler.com,NA
15,algemeiner.com,NA
16,alhittin.com,NA
17,allamericanblogger.com,NA
18,althouse.blogspot.com,conservative
19,americanfreedombybarbara.com,NA
20,americanpowerblog.blogspot.com,conservative
21,americanthinker.com,conservative
22,amerpundit.com,NA
23,ammoland.com,NA
24,amptoons.com,NA
25,andyworthington.co.uk,NA
26,angrywhitedude.com,NA
27,antiwar.com,NA
28,aphilosopher.wordpress.com,conservative
29,arabist.net,NA
30,arkansasgopwing.blogspot.com,NA
31,articles.businessinsider.com,NA
32,asiafoundation.org,NA
33,assets.newamerica.net,NA
34,astuteblogger.blogspot.com,conservative
35,ataxingmatter.blogs.com,NA
36,atlasshrugs2000.typepad.com,conservative
37,autonomousmind.wordpress.com,NA
38,azizonomics.com,NA
39,babalublog.com,NA
40,back2stonewall.com,NA
41,balkin.blogspot.com,moderate
42,balloon-juice.com,liberal
43,barkbarkwoofwoof.com,liberal
44,baselinescenario.com,NA
45,becker-posner-blog.com,NA
46,beerswithdemo.blogspot.com,conservative
47,betsyspage.blogspot.com,NA
48,bilerico.com,NA
49,blackagendareport.com,NA
50,blackfive.net,NA
51,bleedingheartlibertarians.com,conservative
52,blog.foreignpolicy.com,NA
53,blog.heritage.org,conservative
54,blog.norml.org,NA
55,blog.reidreport.com,liberal
56,blog.simplejustice.us,NA
57,blog.vivianpaige.com,NA
58,bloggingblue.com,NA
59,blogs.ajc.com,NA
60,blogs.cfr.org,NA
61,blogs.chicagotribune.com,moderate
62,blogs.dallasobserver.com,NA
63,blogs.denverpost.com,NA
64,blogs.e-rockford.com,NA
65,blogs.edweek.org,NA
66,blogs.mcall.com,moderate
67,blogs.mcclatchydc.com,NA
68,blogs.orlandosentinel.com,NA
69,blogs.reuters.com,liberal
70,blogs.suntimes.com,NA
71,blogs.the-american-interest.com,NA
72,bloodthirstyliberal.com,liberal
73,blueamerica.crooksandliars.com,NA
74,bluegrasspundit.com,conservative
75,bluemassgroup.com,NA
76,blueoregon.com,NA
77,bluestemprairie.com,liberal
78,bobagard.blogspot.com,NA
79,bobkrumm.com,NA
80,boiseguardian.com,NA
81,bonddad.blogspot.com,NA
82,booksbikesboomsticks.blogspot.com,conservative
83,bookwormroom.com,conservative
84,boortz.com,NA
85,boudicabpi.wordpress.com,NA
86,boxturtlebulletin.com,NA
87,brainsandeggs.blogspot.com,NA
88,buchanan.org,conservative
89,businessinsider.com,moderate
90,bytegeist.firedoglake.com,NA
91,cafehayek.com,NA
92,calculatedriskblog.com,NA
93,californiaprogressreport.com,NA
94,cannonfire.blogspot.com,NA
95,capitolcommentary.com,conservative
96,captainsjournal.com,conservative
97,channel-surfing.blogspot.com,NA
98,chinausfocus.com,NA
99,citizentom.com,conservative
100,cognidissidence.blogspot.com,liberal
101,commoncts.blogspot.com,NA
102,community.feministing.com,NA
103,conservativedailynews.com,conservative
104,conservativehome.blogs.com,NA
105,counterterrorism.newamerica.net,NA
106,courageinamerica.com,NA
107,coyoteblog.com,NA
108,creepingsharia.wordpress.com,NA
109,crethiplethi.com,moderate
110,crimefilenews.com,NA
111,crookedtimber.org,liberal
112,crooksandliars.com,liberal
113,dagblog.com,NA
114,dailycaller.com,conservative
115,dailypaul.com,NA
116,dailypundit.com,moderate
117,danshaviro.blogspot.com,NA
118,davedubya.com,NA
119,deanesmay.com,NA
120,debate-central.ncpa.org,NA
121,defencetalk.com,NA
122,delawareliberal.net,NA
123,delong.typepad.com,liberal
124,democracyarsenal.org,NA
125,democurmudgeon.blogspot.com,NA
126,dennismansfield.com,NA
127,digbysblog.blogspot.com,liberal
128,directorblue.blogspot.com,conservative
129,dissectleft.blogspot.com,conservative
130,dissenter.firedoglake.com,NA
131,dogwalkmusings.blogspot.com,moderate
132,dohiyimir.org,NA
133,dontmesswithtaxes.typepad.com,NA
134,dorfonlaw.org,conservative
135,douthat.blogs.nytimes.com,liberal
136,downwithtyranny.blogspot.com,NA
137,drezner.foreignpolicy.com,NA
138,driftglass.blogspot.com,liberal
139,earlyed.newamerica.net,NA
140,echidneofthesnakes.blogspot.com,NA
141,economicpolicyjournal.com,conservative
142,economistsview.typepad.com,NA
143,edmoney.newamerica.net,NA
144,elections.firedoglake.com,NA
145,elephantsinthebluegrass.blogspot.com,NA
146,emilylhauserinmyhead.wordpress.com,NA
147,english.economicpolicyjournal.com,NA
148,escapetyranny.com,NA
149,eschatonblog.com,liberal
150,estateofdenial.com,NA
151,fas.org,NA
152,faultlineusa.blogspot.com,NA
153,faustasblog.com,NA
154,fdlaction.firedoglake.com,NA
155,fem2pt0.com,liberal
156,feministing.com,liberal
157,field-negro.blogspot.com,liberal
158,firedoglake.com,liberal
159,first-draft.com,NA
160,floppingaces.net,conservative
161,frcblog.com,NA
162,fredfryinternational.blogspot.com,NA
163,freedomslighthouse.net,NA
164,freekeene.com,NA
165,frontporchrepublic.com,NA
166,futuretense.newamerica.net,NA
167,garyfouse.blogspot.com,NA
168,gatesofvienna.blogspot.com,moderate
169,gawker.com,NA
170,gaypatriot.net,conservative
171,georgiatipsheet.com,NA
172,georgiaunfiltered.blogspot.com,NA
173,globaleconomicanalysis.blogspot.com,NA
174,goldwatergal.com,conservative
175,goodasyou.org,NA
176,goodolewoody.wordpress.com,liberal
177,gothamschools.org,NA
178,grand-divisions.blogspot.com,NA
179,grassrootsindependent.blogspot.com,NA
180,greatsatansgirlfriend.blogspot.com,NA
181,gritsforbreakfast.blogspot.com,NA
182,gunwatch.blogspot.com,conservative
183,hallofrecord.blogspot.com,NA
184,healthaffairs.org,NA
185,hennessysview.com,NA
186,hg.scimth.net,NA
