"","x"
"1",3.18560038142562e-12
"2",3.37042726349588e-11
"3",0.957020249140691
"4",1.7358376040779e-12
"5",4.78378240018957e-18
"6",3.23918755408362e-07
"7",3.3806008499028e-12
"8",3.33803421998739e-09
"9",0.972118308553383
"10",1.47789006706427e-15
"11",2.29452096559759e-10
"12",1.10238446024856e-17
"13",4.1255476222873e-07
"14",5.18707643796067e-09
"15",1.03361398537484e-07
"16",1.72786818750145e-08
"17",0.955167597882989
"18",0.933589667289847
"19",1.85853996271959e-08
"20",7.49020855123522e-14
"21",5.38608965643224e-10
"22",0.962734028538224
"23",1.1242304668867e-10
"24",9.75426857101806e-10
"25",7.79245222627879e-08
"26",3.42171628935678e-14
"27",6.57978040437098e-15
"28",2.59879885432666e-07
"29",1.14139845208267e-07
"30",2.82037615559184e-11
"31",2.4451011939291e-09
"32",1.10844770570766e-09
"33",3.55486839505038e-11
"34",1.57667368355409e-12
"35",6.84879139346515e-12
"36",6.85966069862506e-12
"37",0.979598284990222
"38",7.74209947172432e-08
"39",1.04311928616342e-16
"40",0.660663361239185
"41",1.36010127771794e-06
"42",7.15863116658634e-11
"43",3.96928521408614e-10
"44",3.25365916635703e-12
"45",1.12222252517147e-12
"46",1.50095387205589e-16
"47",1.34244656164678e-07
"48",8.83270552346204e-28
"49",2.54352486431241e-09
"50",2.05724285187528e-07
"51",2.92242579575158e-08
"52",0.988006742085716
"53",8.34909935041056e-13
"54",0.66549340546761
"55",3.78161754744844e-09
"56",0.905110449583468
"57",1.4978568997239e-12
"58",6.2782340945084e-10
"59",0.00903773328320623
"60",1.77244044281374e-21
"61",3.04222534215828e-17
"62",3.84694422115369e-12
"63",1.85709166162942e-12
"64",1.62647140036537e-11
"65",1.7636446990926e-15
"66",6.03195603466611e-14
"67",0.868668157422826
"68",0.848523371381982
"69",2.30760809454686e-09
"70",5.29939899716502e-10
"71",5.31285131547265e-24
"72",1.34461442771315e-07
"73",4.02928121499472e-11
"74",1.38473249640902e-09
"75",9.50314481550814e-08
"76",3.61280327876457e-08
"77",3.24062677651828e-11
"78",5.4949541819273e-09
"79",2.34613062910099e-11
"80",9.78208199844357e-10
"81",8.00769520659474e-12
"82",1.43800300687529e-14
"83",1.82933627358853e-10
"84",4.48126270469428e-11
"85",2.01817831851424e-09
"86",2.17204844414109e-16
"87",7.62522423465752e-17
"88",1.84549668219854e-14
"89",0.0768130670154285
"90",5.09772009399581e-08
"91",8.45840113502415e-07
"92",1.50497269223742e-08
"93",0.900614053296657
"94",1.10385683617234e-07
"95",1.20332606010914e-08
"96",0.0273715892548876
"97",0.870097463290179
"98",2.44327193474274e-10
"99",9.56434689554767e-10
"100",1.99101435224903e-09
"101",8.53652915092573e-11
"102",4.28832553537825e-08
"103",0.760296403292887
"104",1.03253295842322e-07
"105",0.867774610595907
"106",1.44355974297413e-12
"107",1.83693806018076e-07
"108",2.73676050461223e-10
"109",7.14738456470966e-14
"110",2.07356146470901e-19
"111",5.29352129712858e-09
"112",1.99666322874671e-08
"113",2.0471561568545e-07
"114",2.16638774914352e-18
"115",4.79351695768398e-09
"116",0.864044220958672
"117",9.49897629128173e-13
"118",1.32997759186507e-06
"119",0.960615476565724
"120",0.290848325282482
"121",0.917063990477541
"122",3.40918575306856e-10
"123",0.813725247971955
"124",1.2051315894361e-10
"125",1.7265629491552e-14
"126",0.959221590384146
"127",3.13932737623566e-08
"128",9.78507350325527e-12
"129",1.40430945208846e-08
"130",0.956964001429434
"131",3.04429928239454e-11
"132",0.944389585058478
"133",1.78028201737851e-14
"134",1.92670601803313e-13
"135",2.60314197439487e-14
"136",0.927261393113193
"137",0.843136459762408
"138",3.93165651525282e-14
"139",0.92985806497575
"140",2.93196188993528e-11
"141",7.02909198151347e-15
"142",0.961289347627486
"143",0.964614343981906
"144",9.06998144324098e-10
"145",3.47853852745694e-09
"146",0.908063594883497
"147",0.929153850025192
"148",0.0110032867130742
"149",1.09673633336914e-09
"150",2.58739701970283e-08
"151",1.3899763861189e-07
"152",4.79062143744511e-08
"153",3.08160651113689e-13
"154",3.36610679376214e-09
"155",3.56580039822768e-14
"156",6.89681773881884e-09
"157",2.08316720554481e-13
"158",8.11432751917748e-07
"159",3.6933362921529e-08
"160",0.930524787707595
"161",1.80718405350342e-07
"162",6.83194443330203e-08
"163",8.78682764297281e-09
"164",7.09856403735871e-10
"165",1.12139272703125e-13
"166",1.0155419009732e-15
"167",5.58994237226132e-08
"168",5.31115515567074e-09
"169",3.64059564451096e-11
"170",3.20996060430625e-08
"171",6.05560225756707e-11
"172",5.62678849710419e-14
"173",4.76573298250191e-19
"174",8.66283051129166e-10
"175",0.0242074419840233
"176",1.17255202729655e-07
"177",2.28542306419091e-13
"178",9.89561874053328e-12
"179",9.02318819521803e-09
"180",1.43546698471303e-10
"181",1.14227301917841e-14
"182",0.988661422034708
"183",0.873303177790218
"184",9.51921890351224e-15
"185",1.7908097666996e-11
"186",5.20096460663426e-09
"187",3.73361710219277e-10
"188",5.8524333240322e-12
"189",2.53946521802361e-13
"190",2.36057082479192e-08
"191",0.975569758872954
"192",4.55193525362159e-14
"193",0.125375707542018
"194",0.945564502934553
"195",8.4736786063356e-10
"196",0.974218594060838
"197",1.50961748400488e-07
"198",2.18627117044225e-15
"199",1.34906812875958e-13
"200",1.4275314024714e-08
